id	filename	md5	size	state
9be0032a-af6c-45e3-afb6-455e4e271cdf	a873b7cf-9a39-4c36-94d4-9e9eba04425b_noid_Red.idat	78e765483b513e1b6fd71e0b9778921a	8095280	validated
9a37cc5b-db56-47ee-b7a6-783b140dcf3f	86b5fca7-006a-4240-9689-03a2097d3efb_noid_Grn.idat	5064aa06301a0aee113c75f480482259	8095329	validated
a3832ed6-1774-46e8-be50-3a1b1c31e984	a86c58f9-070e-4197-b574-346efa249dc8_noid_Grn.idat	757c59dd3c7a7aa8df76d7bd868b2365	8095288	validated
a786d6d9-6afd-421b-ba84-0cf4a4a3580d	242ba9cd-83a6-4165-953e-01dab6b9b205_noid_Grn.idat	ce41f53c4082d3bf322ec230b5098a7f	8095259	validated
a647d801-49ca-471d-a796-268af8ffb9dc	d0a3ee4a-1149-4f8c-9cf0-c6a8405be77a_noid_Grn.idat	a7c4dd959ae23c0f023e4b062d650ff9	8095255	validated
ad357845-0b10-47f4-a92c-2d65a46e8995	0cbf6426-1cbc-4977-9a79-a1fcd503df2c_noid_Grn.idat	3aa70c5d5529b2d8c6fc1c9ba3ff185f	8095261	validated
b5771cab-a7be-4eae-a6d5-883afde84059	ec358419-a235-497a-bae6-49e19c33a23f_noid_Grn.idat	cb9e06e0c1877e1e5a5c34e50e3d1a49	8095250	validated
c69c31c1-abad-4fc0-b955-ff7e8ee9e8e7	374ddcde-033d-4f39-9c1d-edc5fc5f19bd_noid_Grn.idat	b3c0325c11dd919d9da87cb30a8874d4	8095268	validated
b439be00-0efd-4372-911a-f7f01745f260	2af55b4b-3667-410c-a9f7-785b21cdb6b6_noid_Red.idat	cd6c7739bb1d05fba8ac5250a33b1c8b	8095236	validated
946fd08d-3bba-4f25-9391-ccd9115900b2	4b221e1e-9446-42f7-bdfe-ebd1ad198783_noid_Grn.idat	beb61b4a9e93f5796af679a157cc10dc	8095298	validated
9e48dcff-cfc4-45cc-a912-ebd341cb38ef	4f577f5f-1f76-4a3a-b010-50ab685b4788_noid_Red.idat	2bfe6239649b133ca4a9b607ada30018	8095258	validated
9d7f9dd6-bc0a-49c9-9135-e44e2802bcbd	adc7c105-581e-4fba-941d-d7e6627b4aed_noid_Grn.idat	20f5a9aabf643ff21a3d68aea3e1c625	8095270	validated
b644db9c-8777-49d0-88ea-83357da57355	9792fc39-ac22-45d8-80da-58f06ee53311_noid_Red.idat	c68ddc52ebf4202d4540180d2d9b1359	8095306	validated
a8dd7386-7475-428c-82a8-e48d98068eb1	8bfffac6-2c70-4427-b276-6e5592e9588e_noid_Red.idat	eb796c1055287f71405b00f95a45b958	8095272	validated
b2721390-7052-451e-a7bd-0900e8c870c2	e3aab5d0-1e3e-4f6a-bfac-e207e553bc40_noid_Red.idat	16bd109185c460a3b223c2fdb20ca16a	8095326	validated
d86e9024-70bd-4fdf-a347-5133464fc309	c3d43ba6-0e0a-40a0-9f1f-e87402acc52a_noid_Red.idat	6f64a69668cdc6803fc4328c0ae54f63	8095252	validated
9cf3e032-e95a-4ccc-a54d-887a9122deea	ded62f49-c71f-48f5-b789-e1a705d723bf_noid_Red.idat	4a3fea95f53fb0b0fb56e1c4533eeff1	8095282	validated
b3f084a1-6228-4ec4-a3cd-b23f673a824d	d9a52201-a660-44d5-9433-f9bebfd15a4d_noid_Red.idat	51e8825ff7cb9415a181c3c9c395e21c	8095252	validated
b69f737e-984c-499b-8175-c94d7684e342	d9cc0aa8-6b50-439a-a264-101fc555bbc1_noid_Grn.idat	b406fe865e09c0f8bcef2bce1a428c2b	8095260	validated
a70f0522-43df-4919-a484-70329c20933d	c11aef0f-d557-406d-90f9-209fb2595c55_noid_Grn.idat	9a98fb18eebbcd527d3b04b9e9000b00	8095272	validated
ab337959-cbfc-4b9d-9a60-0224f0c6a759	bb73da73-e865-4dd9-a7d6-4fd76225755f_noid_Red.idat	1f5fd43d0c283224e12f94ea18a6b476	8095274	validated
